longitudinal biomedical studies	social networks graphs	{'405e864b4bf1c0ca9f3faeb4de1099d03dcdd5f1': 2, 'bbac441b192a36ff81106b3dc3d8ec921606b21a': 2}
longitudinal biomedical studies	describing evolving interactions	{'405e864b4bf1c0ca9f3faeb4de1099d03dcdd5f1': 2, 'bbac441b192a36ff81106b3dc3d8ec921606b21a': 2}
longitudinal biomedical studies	complex systems	{'405e864b4bf1c0ca9f3faeb4de1099d03dcdd5f1': 2, 'bbac441b192a36ff81106b3dc3d8ec921606b21a': 2}
social networks graphs	describing evolving interactions	{'405e864b4bf1c0ca9f3faeb4de1099d03dcdd5f1': 2, 'bbac441b192a36ff81106b3dc3d8ec921606b21a': 2}
social networks graphs	complex systems	{'405e864b4bf1c0ca9f3faeb4de1099d03dcdd5f1': 2, 'bbac441b192a36ff81106b3dc3d8ec921606b21a': 2}
describing evolving interactions	complex systems	{'405e864b4bf1c0ca9f3faeb4de1099d03dcdd5f1': 2, 'bbac441b192a36ff81106b3dc3d8ec921606b21a': 2}
people today	businesses communicating	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
people today	vast majority	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
people today	emails received	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
people today	emails originate	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
businesses communicating	vast majority	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
businesses communicating	emails received	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
businesses communicating	emails originate	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
vast majority	emails received	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
vast majority	emails originate	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
emails received	emails originate	{'94c5989e4de8ee9a712cd3a6bd67dbf06486b7df': 2, '44e25de2d430493145935fb065ce0d002e0291ac': 2, '15b52322a08bbe2d385381d4f6f55aa6ebe57af4': 2}
mimo	multi-user	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
artificial neural network	semiconductor industry	{'b1e6f1e64422b43c05ae07e37fa54ed05a6ad960': 2}
nonlinear system	approximation algorithm	{'d0df5c74183984bb14ac644fe6e5421030081dfc': 2}
converge	fuzzy control system	{'29dcb881490e9cf37ef125eaae7d1ebbca321786': 2}
converge	lyapunov fractal	{'29dcb881490e9cf37ef125eaae7d1ebbca321786': 2}
fuzzy control system	lyapunov fractal	{'29dcb881490e9cf37ef125eaae7d1ebbca321786': 2}
benchmark (computing)	algorithm	{'b7619422c73f101bf8e21a5f71bf388a5bbc15bb': 2}
artificial neural network	computational complexity theory	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
convolutional neural network	computational complexity theory	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
approximation	numerical analysis	{'13139e4e06a0f23073e4e10dab562561c49bfa6f': 2}
wikipedia 	twitter 	{'2ac6af8407a08cec5d2736330a08ae5e42a80c67': 2}
adversarial examples	nips 2017 competition	{'9c328add4bbf2f772b24ee0efb7ad0386a64a173': 2, 'f2c587c3015af996f39c93f47087a728c7a3bf8c': 2}
analysis of algorithms	convolutional neural network	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
binary image	computation	{'daf8acd7483e730eb1c6fd35f8180fb47f8dd143': 2, '194945a930bea1beda8a71c390a62f911e65c725': 2, '306610ae7960c2eacaaaf3169cae15ddbae9cb34': 2}
latency challenges	flexible functional split	{'55f07dca6bdf427d2f9bf8d495bc26c504d425c2': 2, '4544f2734cacacb205f42cdecf87bdaafd84aec8': 2}
iterative method	entropy maximization	{'348d45441d649a213edda56ea756a42230585641': 2}
iterative method	telecommunications link	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
telecommunications link	simulation	{'336084bd01398bae504a2e199e9766e634bb76db': 2}
telecommunications link	mathematical optimization	{'2e0702b6b5bddc699eedfed135c72e489131859c': 2}
expectation propagation	computer simulation	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
expectation propagation	active learning (machine learning)	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
expectation propagation	numerical analysis	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
computer simulation	active learning (machine learning)	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
active learning (machine learning)	numerical analysis	{'633a3b1a4768e22eeea4dacbfb58abcb43b28ca1': 2}
real-time clock	real-time transcription	{'d7562a919056c6055ab55e8f3c69d1350e577710': 2}
promising solution	long term evolution	{'b9150bdd42ce02daf6d64d36c134773ba5d7f8cf': 2, 'fd59e3767e4ffc774eb713478835c8da915c4265': 2}
adversarial examples phenomenon	domain shift	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
adversarial examples phenomenon	deep networks	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
adversarial examples phenomenon	training distribution	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
adversarial examples phenomenon	model generalization	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
domain shift	deep networks	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
domain shift	training distribution	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
domain shift	model generalization	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
deep networks	training distribution	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 3, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
deep networks	hidden states	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
deep networks	model generalization	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
deep networks	input space	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
training distribution	hidden states	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
training distribution	model generalization	{'2975b52ce1fa998be1db03767bb341722d2d6ee6': 2, 'd65854cdfeee4670823bca9f2f6d08f0771758e3': 2, 'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2, 'f2fa6ca3e406c273973e49c9ded171e703a34caf': 2}
training distribution	input space	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
hidden states	input space	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
frechet inception distance	inception score	{'a43e704f9d64853d2c389adb8601dae036631764': 2}
data manifold	deep networks	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
data manifold	training distribution	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
deep networks	adversarial examples	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
adversarial examples	training distribution	{'bb53ad03c0ba6408b83d2fa55e1f3f2234a7a1c8': 2}
telecommunications link	interference (communication)	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2, '2e0702b6b5bddc699eedfed135c72e489131859c': 2}
time complexity	convolutional neural network	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
metaheuristic 	optimization 	{'d525dd780ac282c474f37de5dad01c4bee88800f': 2, 'd653b4ea750bf5cda2e3e3388d662955d554b1aa': 2, 'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2, '0ab681a0cecab59b7c96d322a307d012fce4b9bb': 2}
metaheuristic 	swarm intelligence 	{'d525dd780ac282c474f37de5dad01c4bee88800f': 2, 'd653b4ea750bf5cda2e3e3388d662955d554b1aa': 2, 'f20ed04f2dc01b1ed8c2765565f2b9343cab71f0': 2, '0ab681a0cecab59b7c96d322a307d012fce4b9bb': 2}
smart battery system	simulation	{'98329770fbe0862a6d6ef1e89d0ea001764b268f': 2}
simulation	machine learning	{'e1de84aca34bee8fc4f99c1fd748d3b00aefc9d6': 2}
scheduling (computing)	interference (communication)	{'2e0702b6b5bddc699eedfed135c72e489131859c': 2}
recurrent neural network	random neural network	{'ce9cdfc2e7929299eec3661cfc146a2e7c8dfb77': 2}
telecommunications link	multitier architecture	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
interference (communication)	multitier architecture	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
cross-validation (statistics)	cross reactions	{'aa01e12912696b28906d31870818606ef1218492': 2}
analysis of algorithms	time complexity	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
word lists by frequency	mathematical optimization	{'7a0ef07cd0006280e4b16d509c020d275b718192': 2}
telecommunications link	multi-user	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
interference (communication)	multi-user	{'348d45441d649a213edda56ea756a42230585641': 2, '0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
analysis of algorithms	artificial neural network	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
time complexity	computational complexity theory	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
benefit	sensor (device)	{'728d1f8ca0e0a430af2b93b015d3905ba3bc04fb': 2}
mimo	interference (communication)	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
iterative method	interference (communication)	{'348d45441d649a213edda56ea756a42230585641': 2, '0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
iterative method	multi-user	{'348d45441d649a213edda56ea756a42230585641': 2, '0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
entropy maximization	interference (communication)	{'348d45441d649a213edda56ea756a42230585641': 2}
entropy maximization	multi-user	{'348d45441d649a213edda56ea756a42230585641': 2}
algorithm	interaction	{'c63f844101108eed6e5b884b490e519d0dc45db8': 2}
iterative method	frequency band	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
robot	robotic arm	{'841041bf4bd11469d7f9aef90eb35997a5233185': 2}
recurrent neural network	time series	{'ce9cdfc2e7929299eec3661cfc146a2e7c8dfb77': 2}
time series	random neural network	{'ce9cdfc2e7929299eec3661cfc146a2e7c8dfb77': 2}
benchmark (computing)	time complexity	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
analysis of algorithms	computational complexity theory	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
telecommunications network	numerical analysis	{'1e9f22cbf8e9555a6b9488d829ed5fed6e0fedab': 2}
particle swarm optimization	numerical analysis	{'d5b264f2639ddd5ace2f7df78a2cf7fb171b3c13': 2}
hearing loss high-frequency	bands	{'8d7214db58c136a38b44b2831b40b90ce7bfaa89': 2}
hearing loss high-frequency	machine learning	{'8d7214db58c136a38b44b2831b40b90ce7bfaa89': 2}
bands	machine learning	{'8d7214db58c136a38b44b2831b40b90ce7bfaa89': 2}
scheduling (computing)	telecommunications link	{'2e0702b6b5bddc699eedfed135c72e489131859c': 2}
mimo	iterative method	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
mimo	telecommunications link	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
mimo	smart battery system	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
mimo	multitier architecture	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
mimo	frequency band	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
iterative method	smart battery system	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
iterative method	multitier architecture	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
telecommunications link	smart battery system	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
telecommunications link	frequency band	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
smart battery system	interference (communication)	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
smart battery system	multitier architecture	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
smart battery system	multi-user	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
smart battery system	frequency band	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
multitier architecture	multi-user	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
multitier architecture	frequency band	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
multi-user	frequency band	{'0c5451ecd8700e6035c163abe9a0967545337a8d': 2}
cross reactions	test set	{'aa01e12912696b28906d31870818606ef1218492': 2}
benchmark (computing)	computational complexity theory	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
closed-circuit television	convolutional neural network	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
benchmark (computing)	analysis of algorithms	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
benchmark (computing)	closed-circuit television	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
embedded system	analysis of algorithms	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
embedded system	artificial neural network	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
embedded system	closed-circuit television	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
embedded system	time complexity	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
embedded system	convolutional neural network	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
embedded system	computational complexity theory	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
analysis of algorithms	closed-circuit television	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
artificial neural network	closed-circuit television	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
closed-circuit television	time complexity	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
closed-circuit television	computational complexity theory	{'ff3c72f526f32417708dbdb539b555d325771fed': 2}
